id,split
02781BB458B7EEE0,train
02CC41B35F6C8145,train
06BE6C20741AFADD,train
083B371B51E8CC0B,test
08D745849406C9D5,train
08FF8BEBB1FB756A,val
0A44743795D421F7,train
0AD7CE889B4FB16F,train
0D0C5A034B94C222,train
0FC3188AAA7E6851,train
11BC311A21A22818,train
12513A2DA6247E3A,train
129A1F8B9C12F86B,val
186C2C2E731D073F,test
1D1D8ECAC96EFAA5,train
2607CE818F67E933,train
26DD3530EC0566E9,train
28515CE7A6338299,train
2888F975483629F7,val
2DD9A1B65346D271,val
308162EDE9FF8B44,train
31E1D28ADE38ABA9,train
339F7F1A6EF6ED24,train
3769021426255867,train
3B3256E6694B0ABE,train
3E934A9F0D559A6F,train
3F2E8686E524ABCA,train
413F7A2478FC5F11,train
4384905D9F04EE3D,train
47DF7844DE611A35,train
4CD9674D8668698C,train
5202FD9C3F3E6DCB,train
561D9C46D30CDE75,train
568C73A17370866F,train
56A09B65B422A9C3,train
56CA1FFF09488D70,train
5A48C85404AB8CFD,train
623800C4D6E06CFF,test
5B6D4F35387FF59C,train
64C38A134BB232A0,train
5BE1ADA090E1EB9C,train
7221AE511B771DEA,train
5F3E9A19B47C2EAD,train
73781E0BB50F5CFD,train
7544927F31DCD2CC,train
7645FEEA317A0322,train
7649B8253DAA6017,train
772CF49213E9182A,val
78BBB9B8FA64AAE9,train
7A84C4C355AAF522,train
7D8E6E1C05D04B9D,test
800ACF15C5100518,train
81919050DB84B1E2,val
83E1C340F8E5F65D,train
84AB58449615F6A7,train
90474B0E4714E788,train
96DB3D1914340624,train
9E8122CBCB107AC3,train
9FB69D514F663A2B,train
A028109FC4FFD563,train
A09CBBD45477851D,test
A4264147F70AEA89,train
AF0F2977AE15FCEB,val
B16E560C37DE59B8,test
B1BF7CAA0E66B941,train
B481CBACB2D2317F,val
B4DE93C52883978B,test
B9C955AF12E715A9,train
B9E075DD7DC4993D,test
BC3675FA16C01599,train
C0AB424F324B9C12,train
C3306605A8CE9DCF,train
C3732D71E7AEAD41,train
C3EE0DC08BE06372,train
C64307FC319671E4,train
CAACC656E5496740,train
CBA97E66414EC66D,train
CE3E4B5B92FBE67D,train
D70E1BF285046A89,val
D7B443C423B101E8,train
D86B4634ED371FC8,train
DF8E96657CA10FA1,val
E8645535412D684C,train
EE79892E166A55B4,train
EF1B0683CDDE35F4,train
F0153D8ED3822B16,train
F08C01C4F5DC66B4,train
FD8E42D075A45A2F,test
DF7C5391DF882E08,train
D8807180F5048ADF,test
